# bright_soliton_newton_state_v1
# A,1.00000000000000000e+00
# b,7.50000000000000000e-01
# Omega,1.79999999999999993e-01
# A_sol,7.50000000000000000e-01
# w_sol,5.00000000000000000e-01
# x_start,2.76149999999999984e+00
# v_start,0.00000000000000000e+00
# L,-1.00000000000000000e+01
# R_excluded,9.95000000000000284e+00
# N,400
# dx,5.00000000000007105e-02
# g,-1.00000000000000000e+00
# point_5_over_dx_squared,1.99999999999994316e+02
# interpolate,False
# exported_mass,2.30752941782598864e+00
# exported_x_cm,2.96712377001946592e+00
# exported_width,6.78845247267727103e-01
x,u_real,u_imag
-1.00000000000000000e+01,2.99947478991047563e-05,1.89193020865239740e-18
-9.94999999999999929e+00,2.71215499764672542e-05,1.71070258304316698e-18
-9.90000000000000036e+00,2.45336493089005008e-05,1.54747015204318335e-18
-9.84999999999999964e+00,2.22018509193910399e-05,1.40039143349952237e-18
-9.80000000000000071e+00,2.01000377327776066e-05,1.26781907866641806e-18
-9.75000000000000000e+00,1.82048378239838595e-05,1.14827888916035427e-18
-9.69999999999999929e+00,1.64953285608208983e-05,1.04045098614463273e-18
-9.65000000000000036e+00,1.49527734599174906e-05,9.43153682483512454e-19
-9.59999999999999964e+00,1.35603880586613721e-05,8.55328413321354003e-19
-9.55000000000000071e+00,1.23031315331502526e-05,7.76026594432079568e-19
-9.50000000000000000e+00,1.11675211689433287e-05,7.04397643832351482e-19
-9.44999999999999929e+00,1.01414671239175481e-05,6.39678835098820073e-19
-9.40000000000000036e+00,9.21412521607217441e-06,5.81186426795664818e-19
-9.34999999999999964e+00,8.37576572834817089e-06,5.28306668235952005e-19
-9.30000000000000071e+00,7.61765645152680921e-06,4.80488727687601207e-19
-9.25000000000000000e+00,6.93195838863905005e-06,4.37238113387664569e-19
-9.19999999999999929e+00,6.31163272321297295e-06,3.98110833772484504e-19
-9.15000000000000036e+00,5.75035781188838127e-06,3.62708132025264188e-19
-9.09999999999999964e+00,5.24245510187879485e-06,3.30671851790874061e-19
-9.05000000000000071e+00,4.78282299761026740e-06,3.01680212920597728e-19
-9.00000000000000000e+00,4.36687781050570857e-06,2.75444101462129245e-19
-8.94999999999999929e+00,3.99050102297761478e-06,2.51703743420353352e-19
-8.90000000000000036e+00,3.64999218370800468e-06,2.30225821635336065e-19
-8.84999999999999964e+00,3.34202682752378268e-06,2.10800735268976760e-19
-8.80000000000000071e+00,3.06361888075728141e-06,1.93239996096406486e-19
-8.75000000000000000e+00,2.81208707291903948e-06,1.77374509506146858e-19
-8.69999999999999929e+00,2.58502492868798391e-06,1.63052514144422790e-19
-8.65000000000000036e+00,2.38027396142394866e-06,1.50137892332107653e-19
-8.59999999999999964e+00,2.19589973131773984e-06,1.38508581546021994e-19
-8.55000000000000071e+00,2.03017046852297474e-06,1.28055303334682378e-19
-8.50000000000000000e+00,1.88153799469867838e-06,1.18680315424265388e-19
-8.44999999999999929e+00,1.74862070580645913e-06,1.10296494590328013e-19
-8.40000000000000036e+00,1.63018840517018125e-06,1.02826266332307140e-19
-8.34999999999999964e+00,1.52514879908984193e-06,9.62007537000744718e-20
-8.30000000000000071e+00,1.43253548803250259e-06,9.03590293559656330e-20
-8.25000000000000000e+00,1.35149730489130404e-06,8.52474341305611878e-20
-8.19999999999999929e+00,1.28128886826524686e-06,8.08187880690152229e-20
