Complexity,Loss,Equation
1,0.039181706,"0.1599317"
2,0.010754438,"sech(x0)"
3,0.0052394713,"sin(sech(x0))"
4,0.00014994106,"sech(x0) * 0.6741916"
5,0.00014994104,"sech(x0) / exp(0.39425308)"
6,0.000103904764,"(sech(x0) * 0.68646914) + -0.007816329"
7,3.4708082e-5,"sin(sin(sin(sech(x0 * -1.2655467))))"
8,2.1154267e-5,"sin(sin(sech(x0 / -0.83842796))) * 0.8942741"
9,1.3641577e-5,"0.97356516 * sin(sin(sin(sech(x0 / 0.80598104))))"
10,1.0378469e-5,"sin(sin(sech(-0.47966692 * x0)) * sin(sech(x0)))"
12,2.7698568e-6,"sin(sin((sin(sech(0.4511826 * x0)) - 0.029430185) * sech(x0)))"
13,2.7696626e-6,"sin(sin((sin(sech(0.4511826 * x0)) - sin(0.029430185)) * sech(x0)))"
14,2.484646e-6,"sin((0.73003197 * sech(x0)) * sech(((-0.36581355 - -0.23137003) * x0) * x0))"
15,1.9114252e-6,"sin((0.73003197 * sech(x0)) * sech(((sin(-0.36581355) - -0.21659558) * x0) * x0))"
16,1.1009246e-6,"sin((0.73003197 * sech(x0)) * sech(x0 * sin(sin((-0.06784574 - -0.21659558) * x0))))"
17,7.783855e-7,"sin((0.73003197 * sech(x0)) * sech(sin(sin(sin((-0.36581355 - -0.21659558) * x0))) * x0))"
18,7.7156443e-7,"sin((0.73003197 * sech(x0)) * sech(sin(sin(sin((-0.36581355 - sin(-0.21659558)) * x0))) * x0))"
19,6.0458e-7,"sin((0.73003197 * sech(x0)) * sech(x0 * sin(sin(sin(sin((cos(-0.7777615) * -0.21659558) * x0))))))"
20,6.0194384e-7,"sin((0.73003197 * sech(x0)) * sech(x0 * sin(sin(sin(sin(sin(cos(-0.7777615) * -0.21659558) * x0))))))"
